x-axis,1,2,3
second,Volt,Volt,Volt
-114.279298E-03,-4.654791E-03,+15.794940E-03,-40.190520E-03
-114.276198E-03,-4.654791E-03,+15.794940E-03,+7.322233E-03
-114.273098E-03,-4.654791E-03,+25.511372E-03,+17.038664E-03
-114.269998E-03,-2.711504E-03,+39.551309E-03,+31.078601E-03
-114.266898E-03,+2.039770E-03,+15.794940E-03,-2.394204E-03
-114.263798E-03,+2.039770E-03,+15.794940E-03,-16.434129E-03
-114.260698E-03,+96.481E-06,+25.511383E-03,-2.394209E-03
-114.257598E-03,-2.711502E-03,+29.834852E-03,-16.434124E-03
-114.254498E-03,+5.926349E-03,-7.961414E-03,-2.394215E-03
-114.251398E-03,+11.542311E-03,+15.794940E-03,-26.150569E-03
-114.248298E-03,+3.983061E-03,+15.794940E-03,-16.434115E-03
-114.245198E-03,+8.734331E-03,+6.078483E-03,+7.322233E-03
-114.242098E-03,+8.734331E-03,-7.961403E-03,-2.394227E-03
-114.238998E-03,+8.734331E-03,+25.511403E-03,-26.150569E-03
-114.235898E-03,+10.677624E-03,+49.267743E-03,-16.434104E-03
-114.232798E-03,+15.428891E-03,+49.267743E-03,+17.038701E-03
-114.229698E-03,+17.372186E-03,+29.834801E-03,+40.795036E-03
-114.226598E-03,+20.180157E-03,-17.677862E-03,+21.362088E-03
-114.223498E-03,+15.428891E-03,-17.677862E-03,-6.717616E-03
-114.220398E-03,+17.372187E-03,-17.677862E-03,+21.362077E-03
-114.217298E-03,+22.123452E-03,-7.961380E-03,-26.150569E-03
-114.214198E-03,+22.123452E-03,+15.794940E-03,-16.434084E-03
-114.211098E-03,+22.123452E-03,+15.794940E-03,-2.394255E-03
-114.207998E-03,+20.180154E-03,+15.794940E-03,-16.434078E-03
-114.204898E-03,+17.372190E-03,+25.511434E-03,+7.322233E-03
-114.201798E-03,+24.066752E-03,+39.551246E-03,+7.322233E-03
-114.198698E-03,+28.818013E-03,+15.794940E-03,+7.322233E-03
-114.195598E-03,+28.818013E-03,+25.511442E-03,+17.038735E-03
-114.192498E-03,+30.761314E-03,+49.267743E-03,+40.795036E-03
-114.189398E-03,+35.512574E-03,+39.551235E-03,+40.795036E-03
-114.186298E-03,+33.569272E-03,+25.511451E-03,+31.078525E-03
-114.183198E-03,+26.874710E-03,+49.267743E-03,+17.038747E-03
-114.180098E-03,+24.066756E-03,+39.551226E-03,+21.362003E-03
-114.176998E-03,+28.818013E-03,+15.794940E-03,-16.434050E-03
-114.173898E-03,+28.818013E-03,+6.078418E-03,+17.038755E-03
-114.170798E-03,+30.761318E-03,-7.961337E-03,+31.078511E-03
-114.167698E-03,+33.569268E-03,+15.794940E-03,+7.322233E-03
-114.164598E-03,+28.818013E-03,+15.794940E-03,+7.322233E-03
-114.161498E-03,+24.931400E-03,+25.511474E-03,+7.322233E-03
-114.158398E-03,+19.315506E-03,+39.551207E-03,+17.038769E-03
-114.155298E-03,+26.874705E-03,+6.078401E-03,+31.078497E-03
-114.152198E-03,+24.066761E-03,+1.755222E-03,+17.038775E-03
-114.149098E-03,+26.874704E-03,+29.834653E-03,+21.361946E-03
-114.145998E-03,+20.180143E-03,+1.755233E-03,-6.717474E-03
-114.142898E-03,+15.428891E-03,+29.834642E-03,+40.795036E-03
-114.139798E-03,+15.428891E-03,-17.677862E-03,+40.795036E-03
-114.136698E-03,+15.428891E-03,-7.961306E-03,+40.795036E-03
-114.133598E-03,+17.372203E-03,+15.794940E-03,+31.078477E-03
-114.130498E-03,+20.180140E-03,+6.078379E-03,+17.038795E-03
-114.127398E-03,+17.372204E-03,+1.755267E-03,+31.078471E-03
-114.124298E-03,+22.123452E-03,+29.834608E-03,+17.038801E-03
-114.121198E-03,+20.180138E-03,-17.677862E-03,+31.078465E-03
-114.118098E-03,+15.428891E-03,-7.961289E-03,+7.322233E-03
-114.114998E-03,+15.428891E-03,+15.794940E-03,-2.394343E-03
-114.111898E-03,+17.372207E-03,+15.794940E-03,-16.433991E-03
-114.108798E-03,+20.180136E-03,+15.794940E-03,+17.038815E-03
-114.105698E-03,+17.372208E-03,+15.794940E-03,+31.078451E-03
